name,artist_id,url,mbid,tag
Brooklynn,4GrVVlog2emXt8qBhJYclT,https://open.spotify.com/artist/4GrVVlog2emXt8qBhJYclT,,
Lionel Richie,3gMaNLQm7D9MornNILzdSl,https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl,3cb25fb2-5547-4b05-adec-1a5e37830d46,contemporary r&b
George Strait,5vngPClqofybhPERIqQMYd,https://open.spotify.com/artist/5vngPClqofybhPERIqQMYd,5ab2cf34-517e-48eb-b3a5-34e1cbcd600a,country
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,https://open.spotify.com/artist/1n2pb9Tsfe4SwAjmUac6YT,508f4f83-26dc-4d21-98d9-1a8c04d5ad4a,bro-country
Monica,6nzxy2wXs6tLgzEtqOkEi2,https://open.spotify.com/artist/6nzxy2wXs6tLgzEtqOkEi2,af84073d-3b6d-4390-9d3f-bf65a91c824f,pop
Dem Franchize Boyz,0VKTLKamj4IH8OfQbUL0kq,https://open.spotify.com/artist/0VKTLKamj4IH8OfQbUL0kq,f67ade4c-3b10-497d-a6a7-1f9f05772439,hip hop
The Chicks,25IG9fa7cbdmCIy3OnuH57,https://open.spotify.com/artist/25IG9fa7cbdmCIy3OnuH57,3248ed2d-bada-41b5-a7b6-ac88faa1f1ac,country
The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo,https://open.spotify.com/artist/1SImpQO0GbjRgvlwCcCtFo,f0e820ab-f31a-400d-9c5e-8be1c8c38726,emo
Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,https://open.spotify.com/artist/7x8nK0m0cP2ksQf0mjWdPS,6bd7faa9-601f-44db-a2a6-239209f83156,country
Ludacris,3ipn9JLAPI5GUEo4y4jcoi,https://open.spotify.com/artist/3ipn9JLAPI5GUEo4y4jcoi,0638ba22-040f-438d-83a5-9b670c4adaf5,hip hop
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,149f91ef-1287-46da-9a8e-87fee02f1471,contemporary r&b
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,https://open.spotify.com/artist/6roFdX1y5BYSbp60OTJWMd,7e5cfc9a-e9e1-46f1-b81a-861b12049488,country
Keith Anderson,4AgQTHagFdBq8VL791lSXz,https://open.spotify.com/artist/4AgQTHagFdBq8VL791lSXz,,
Shareefa,6PCMMSSuTf9iCVVxYru5XI,https://open.spotify.com/artist/6PCMMSSuTf9iCVVxYru5XI,72a0d9de-f3dc-419d-af80-b76810c02afc,r&b
Frankie J,3sMYEBy0CZFxedcnm9i9hf,https://open.spotify.com/artist/3sMYEBy0CZFxedcnm9i9hf,6ced1a26-0002-4bdd-8e69-5f80f04826b7,latin pop
Mannie Fresh,0fbFfVckGKsDbAfYnB5mD1,https://open.spotify.com/artist/0fbFfVckGKsDbAfYnB5mD1,34dc70df-8b2c-4bb0-a132-0958671a509c,hip hop
